2026-07-12T14:39:03.435Z	d8-new	Start-New-Words/Continue	5	true
2026-07-12T14:39:06.983Z	d8-new	Session menu	4	true
2026-07-12T14:39:49.569Z	d8-review	Review/Continue	19999	false
2026-07-12T16:36:41.061Z	ascent-d1-new	Start-New-Words/Continue	5	true
2026-07-12T16:36:44.646Z	ascent-d1-new	Session menu	6	true
2026-07-12T16:37:29.433Z	ascent-d2-new	Start-New-Words/Continue	6	true
2026-07-12T16:37:32.992Z	ascent-d2-new	Session menu	5	true
2026-07-12T16:38:07.372Z	ascent-d2-review	Session menu	5	true
2026-07-12T16:38:09.685Z	ascent-d2-review	review test page	6	true
2026-07-12T16:41:25.542Z	base-d1-new	Start-New-Words/Continue	4	true
2026-07-12T16:41:29.116Z	base-d1-new	Session menu	7	true
2026-07-12T16:41:32.343Z	base-d1-new	Start-New-Words/Continue	9	true
2026-07-12T16:41:35.933Z	base-d1-new	Session menu	6	true
2026-07-12T16:41:38.036Z	ascent-d1-new	Start-New-Words/Continue	4	true
2026-07-12T16:41:41.625Z	ascent-d1-new	Session menu	5	true
2026-07-12T16:42:06.817Z	base-d2-new	Start-New-Words/Continue	5	true
2026-07-12T16:42:10.365Z	base-d2-new	Session menu	6	true
2026-07-12T16:42:12.847Z	base-d2-new	Start-New-Words/Continue	4	true
2026-07-12T16:42:16.397Z	base-d2-new	Session menu	5	true
2026-07-12T16:42:18.029Z	ascent-d2-new	Start-New-Words/Continue	3	true
2026-07-12T16:42:21.578Z	ascent-d2-new	Session menu	4	true
2026-07-12T16:42:45.397Z	base-d2-review	Session menu	4	true
2026-07-12T16:42:47.711Z	base-d2-review	review test page	6	true
2026-07-12T16:42:51.187Z	base-d2-review	Session menu	5	true
2026-07-12T16:42:53.511Z	base-d2-review	review test page	6	true
2026-07-12T16:42:55.766Z	ascent-d2-review	Session menu	5	true
2026-07-12T16:42:58.079Z	ascent-d2-review	review test page	6	true
2026-07-12T16:43:18.931Z	base-d3-new	Start-New-Words/Continue	5	true
2026-07-12T16:43:22.471Z	base-d3-new	Session menu	4	true
2026-07-12T16:43:22.615Z	base-d3-new	Start-New-Words/Continue	5	true
2026-07-12T16:43:26.159Z	base-d3-new	Session menu	5	true
2026-07-12T16:43:56.774Z	base-d3-review	Session menu	5	true
2026-07-12T16:43:59.114Z	base-d3-review	review test page	6	true
2026-07-12T16:43:59.988Z	base-d3-review	Session menu	5	true
2026-07-12T16:44:02.325Z	base-d3-review	review test page	4	true
2026-07-12T16:44:24.454Z	base-d4-new	Start-New-Words/Continue	3	true
2026-07-12T16:44:27.999Z	base-d4-new	Session menu	4	true
2026-07-12T16:44:51.505Z	ascent-d1-new	Start-New-Words/Continue	4	true
2026-07-12T16:44:55.051Z	ascent-d1-new	Session menu	5	true
2026-07-12T16:45:02.271Z	base-d4-review	Session menu	5	true
2026-07-12T16:45:04.593Z	base-d4-review	review test page	6	true
2026-07-12T16:45:29.332Z	ascent-d1-review	Session menu	4	true
2026-07-12T16:45:31.667Z	ascent-d1-review	review test page	5	true
2026-07-12T16:45:38.465Z	base-d5-review-BLOCKED	Session menu	5	true
2026-07-12T16:45:40.787Z	base-d5-review-BLOCKED	review test page	6	true
2026-07-12T16:45:45.446Z	ascent-d1-new	Start-New-Words/Continue	4	true
2026-07-12T16:45:48.998Z	ascent-d1-new	Session menu	5	true
2026-07-12T16:46:06.637Z	ascent-d2-new	Start-New-Words/Continue	4	true
2026-07-12T16:46:10.172Z	ascent-d2-new	Session menu	3	true
2026-07-12T16:46:25.874Z	ascent-d2-new	Start-New-Words/Continue	5	true
2026-07-12T16:46:29.424Z	ascent-d2-new	Session menu	3	true
2026-07-12T16:46:43.674Z	ascent-d2-review	Session menu	3	true
2026-07-12T16:46:45.986Z	ascent-d2-review	review test page	4	true
2026-07-12T16:47:04.743Z	ascent-d2-review	Session menu	4	true
2026-07-12T16:47:07.057Z	ascent-d2-review	review test page	6	true
2026-07-12T16:47:41.670Z	ascent-d3-new	Start-New-Words/Continue	4	true
2026-07-12T16:47:45.215Z	ascent-d3-new	Session menu	4	true
2026-07-12T16:48:18.148Z	ascent-d3-review	Session menu	5	true
2026-07-12T16:48:20.461Z	ascent-d3-review	review test page	5	true
2026-07-12T16:54:06.493Z	ascent-d1-new	Start-New-Words/Continue	5	true
2026-07-12T16:54:10.062Z	ascent-d1-new	Session menu	5	true
2026-07-12T16:54:50.388Z	ascent-d2-new	Start-New-Words/Continue	6	true
2026-07-12T16:54:53.931Z	ascent-d2-new	Session menu	4	true
2026-07-12T16:55:29.645Z	ascent-d2-review	Session menu	4	true
